"state","puma2k","cbsa10","stab","cbsaname10","PUMA2kName","pop10","afact"
"FIPS state","puma2k","cbsa10","State Postal Code","2010 CBSA Name","PUMA 2K Name","Total Pop, 2010 census","puma2k to cbsa10 alloc factor"
"01","00100","22520","AL","Florence-Muscle Shoals, AL Metropolitan Statistical Area","0100100",147137,1 
"01","00200","26620","AL","Huntsville, AL Metropolitan Statistical Area","0100200",173632,1 
"01","00300","26620","AL","Huntsville, AL Metropolitan Statistical Area","0100300",243961,1 
"01","00400","22840","AL","Fort Payne, AL Micropolitan Statistical Area","0100400",71109,0.572 
"01","00400","42460","AL","Scottsboro, AL Micropolitan Statistical Area","0100400",53227,0.428 
"01","00500","10700","AL","Albertville, AL Micropolitan Statistical Area","0100500",93019,0.47 
"01","00500","18980","AL","Cullman, AL Micropolitan Statistical Area","0100500",80406,0.406 
"01","00500","99999","AL","99999","0100500",24484,0.124 
"01","00600","19460","AL","Decatur, AL Metropolitan Statistical Area","0100600",153829,1 
"01","00700","99999","AL","99999","0100700",127794,1 
"01","00800","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","0100800",207938,1 
"01","00901","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","0100901",89625,1 
"01","00902","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","0100902",100833,1 
"01","00903","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","0100903",170157,1 
"01","00904","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","0100904",187134,1 
"01","00905","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","0100905",110717,1 
"01","01000","23460","AL","Gadsden, AL Metropolitan Statistical Area","0101000",104430,1 
"01","01100","11500","AL","Anniston-Oxford, AL Metropolitan Statistical Area","0101100",4,0 
"01","01100","45180","AL","Talladega-Sylacauga, AL Micropolitan Statistical Area","0101100",82291,0.514 
"01","01100","99999","AL","99999","0101100",77806,0.486 
"01","01200","11500","AL","Anniston-Oxford, AL Metropolitan Statistical Area","0101200",118568,1 
"01","01300","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","0101300",195085,1 
"01","01400","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","0101400",194656,1 
"01","01500","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","0101500",22915,0.186 
"01","01500","42820","AL","Selma, AL Micropolitan Statistical Area","0101500",43819,0.356 
"01","01500","46220","AL","Tuscaloosa, AL Metropolitan Statistical Area","0101500",24805,0.201 
"01","01500","99999","AL","99999","0101500",31618,0.257 
"01","01600","10760","AL","Alexander City, AL Micropolitan Statistical Area","0101600",53125,0.406 
"01","01600","13820","AL","Birmingham-Hoover, AL Metropolitan Statistical Area","0101600",43643,0.333 
"01","01600","46740","AL","Valley, AL Micropolitan Statistical Area","0101600",34215,0.261 
"01","01700","12220","AL","Auburn-Opelika, AL Metropolitan Statistical Area","0101700",140182,1 
"01","01700","17980","AL","Columbus, GA-AL Metropolitan Statistical Area","0101700",2,0 
"01","01800","10760","AL","Alexander City, AL Micropolitan Statistical Area","0101800",30,0 
"01","01800","12220","AL","Auburn-Opelika, AL Metropolitan Statistical Area","0101800",65,0 
"01","01800","17980","AL","Columbus, GA-AL Metropolitan Statistical Area","0101800",52945,0.268 
"01","01800","20020","AL","Dothan, AL Metropolitan Statistical Area","0101800",17302,0.087 
"01","01800","21640","AL","Eufaula, AL-GA Micropolitan Statistical Area","0101800",27457,0.139 
"01","01800","45980","AL","Troy, AL Micropolitan Statistical Area","0101800",32899,0.166 
"01","01800","46260","AL","Tuskegee, AL Micropolitan Statistical Area","0101800",21452,0.108 
"01","01800","99999","AL","99999","0101800",45767,0.231 
"01","01900","33860","AL","Montgomery, AL Metropolitan Statistical Area","0101900",204647,1 
"01","02000","33860","AL","Montgomery, AL Metropolitan Statistical Area","0102000",158590,1 
"01","02100","33860","AL","Montgomery, AL Metropolitan Statistical Area","0102100",11299,0.073 
"01","02100","42820","AL","Selma, AL Micropolitan Statistical Area","0102100",1,0 
"01","02100","99999","AL","99999","0102100",143558,0.927 
"01","02200","33660","AL","Mobile, AL Metropolitan Statistical Area","0102200",190370,1 
"01","02300","33660","AL","Mobile, AL Metropolitan Statistical Area","0102300",222622,1 
"01","02400","19300","AL","Daphne-Fairhope-Foley, AL Micropolitan Statistical Area","0102400",182265,1 
"01","02500","20020","AL","Dothan, AL Metropolitan Statistical Area","0102500",26786,0.234 
"01","02500","21460","AL","Enterprise-Ozark, AL Micropolitan Statistical Area","0102500",49948,0.436 
"01","02500","99999","AL","99999","0102500",37765,0.33 
"01","02600","20020","AL","Dothan, AL Metropolitan Statistical Area","0102600",101551,0.669 
"01","02600","21460","AL","Enterprise-Ozark, AL Micropolitan Statistical Area","0102600",50251,0.331 
"02","00101","11260","AK","Anchorage, AK Metropolitan Statistical Area","0200101",132542,1 
"02","00102","11260","AK","Anchorage, AK Metropolitan Statistical Area","0200102",159284,1 
"02","00200","11260","AK","Anchorage, AK Metropolitan Statistical Area","0200200",88995,0.616 
"02","00200","99999","AK","99999","0200200",55400,0.384 
"02","00300","21820","AK","Fairbanks, AK Metropolitan Statistical Area","0200300",97581,0.567 
"02","00300","27940","AK","Juneau, AK Micropolitan Statistical Area","0200300",31275,0.182 
"02","00300","28540","AK","Ketchikan, AK Micropolitan Statistical Area","0200300",13472,0.078 
"02","00300","99999","AK","99999","0200300",29880,0.174 
"02","00400","28540","AK","Ketchikan, AK Micropolitan Statistical Area","0200400",5,0 
"02","00400","28980","AK","Kodiak, AK Micropolitan Statistical Area","0200400",13592,0.134 
"02","00400","99999","AK","99999","0200400",88205,0.866 
"04","00101","38060","AZ","Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","0400101",144539,1 
"04","00102","38060","AZ","Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","0400102",146208,1 
"04","00103","38060","AZ","Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","0400103",234790,1 
"04","00104","38060","AZ","Phoenix-Mesa-Glendale, AZ Metropolitan Statistical Area","0400104",203305,1 
