cbsa,county14,county,cntyname2,cbsaname15,pop10,afact
17140,21191, ,Pendleton KY,"Cincinnati, OH-KY-IN (Metro)",14877,0.007
17140,39015, ,Brown OH,"Cincinnati, OH-KY-IN (Metro)",44846,0.021
17140,39017, ,Butler OH,"Cincinnati, OH-KY-IN (Metro)",368130,0.174
17140,39025, ,Clermont OH,"Cincinnati, OH-KY-IN (Metro)",197363,0.093
17140,39061, ,Hamilton OH,"Cincinnati, OH-KY-IN (Metro)",802374,0.379
17140,39165, ,Warren OH,"Cincinnati, OH-KY-IN (Metro)",212693,0.101
17200,33009, ,Grafton NH,"Claremont-Lebanon, NH-VT (Micro)",89118,0.408
17200,33019, ,Sullivan NH,"Claremont-Lebanon, NH-VT (Micro)",43742,0.2
17200,50017, ,Orange VT,"Claremont-Lebanon, NH-VT (Micro)",28936,0.132
17200,50027, ,Windsor VT,"Claremont-Lebanon, NH-VT (Micro)",56670,0.259
17220,54017, ,Doddridge WV,"Clarksburg, WV (Micro)",8202,0.087
17220,54033, ,Harrison WV,"Clarksburg, WV (Micro)",69099,0.734
17220,54091, ,Taylor WV,"Clarksburg, WV (Micro)",16895,0.179
17260,28027, ,Coahoma MS,"Clarksdale, MS (Micro)",26151,1
17300,21047, ,Christian KY,"Clarksville, TN-KY (Metro)",73955,0.284
17300,21221, ,Trigg KY,"Clarksville, TN-KY (Metro)",14339,0.055
17300,47125, ,Montgomery TN,"Clarksville, TN-KY (Metro)",172331,0.661
17340,6033, ,Lake CA,"Clearlake, CA (Micro)",64665,1
17380,28011, ,Bolivar MS,"Cleveland, MS (Micro)",34145,1
17420,47011, ,Bradley TN,"Cleveland, TN (Metro)",98963,0.855
17420,47139, ,Polk TN,"Cleveland, TN (Metro)",16825,0.145
17460,39035, ,Cuyahoga OH,"Cleveland-Elyria, OH (Metro)",1280122,0.616
17460,39055, ,Geauga OH,"Cleveland-Elyria, OH (Metro)",93389,0.045
17460,39085, ,Lake OH,"Cleveland-Elyria, OH (Metro)",230041,0.111
17460,39093, ,Lorain OH,"Cleveland-Elyria, OH (Metro)",301356,0.145
17460,39103, ,Medina OH,"Cleveland-Elyria, OH (Metro)",172332,0.083
17500,12051, ,Hendry FL,"Clewiston, FL (Micro)",39140,1
17540,19045, ,Clinton IA,"Clinton, IA (Micro)",49116,1
17580,35009, ,Curry NM,"Clovis, NM (Micro)",48376,1
17660,16055, ,Kootenai ID,"Coeur dAlene, ID (Metro)",138494,1
17700,20125, ,Montgomery KS,"Coffeyville, KS (Micro)",35471,1
17740,26023, ,Branch MI,"Coldwater, MI (Micro)",45248,1
17780,48041, ,Brazos TX,"College Station-Bryan, TX (Metro)",194851,0.852
17780,48051, ,Burleson TX,"College Station-Bryan, TX (Metro)",17187,0.075
17780,48395, ,Robertson TX,"College Station-Bryan, TX (Metro)",16622,0.073
17820,8041, ,El Paso CO,"Colorado Springs, CO (Metro)",622263,0.964
17820,8119, ,Teller CO,"Colorado Springs, CO (Metro)",23350,0.036
17860,29019, ,Boone MO,"Columbia, MO (Metro)",162642,1
17900,45017, ,Calhoun SC,"Columbia, SC (Metro)",15175,0.02
17900,45039, ,Fairfield SC,"Columbia, SC (Metro)",23956,0.031
17900,45055, ,Kershaw SC,"Columbia, SC (Metro)",61697,0.08
17900,45063, ,Lexington SC,"Columbia, SC (Metro)",262391,0.342
17900,45079, ,Richland SC,"Columbia, SC (Metro)",384504,0.501
