cbsa,county14,county,cntyname2,cbsaname15,pop10,afact
23060,18183, ,Whitley IN,"Fort Wayne, IN (Metro)",33292,0.08
23140,18023, ,Clinton IN,"Frankfort, IN (Micro)",33224,1
23180,21005, ,Anderson KY,"Frankfort, KY (Micro)",21421,0.303
23180,21073, ,Franklin KY,"Frankfort, KY (Micro)",49285,0.697
23240,48171, ,Gillespie TX,"Fredericksburg, TX (Micro)",24837,1
23300,17177, ,Stephenson IL,"Freeport, IL (Micro)",47711,1
23340,31053, ,Dodge NE,"Fremont, NE (Micro)",36691,1
23380,39143, ,Sandusky OH,"Fremont, OH (Micro)",60944,1
23420,6019, ,Fresno CA,"Fresno, CA (Metro)",930450,1
23460,1055, ,Etowah AL,"Gadsden, AL (Metro)",104430,1
23500,45021, ,Cherokee SC,"Gaffney, SC (Micro)",55342,1
23540,12001, ,Alachua FL,"Gainesville, FL (Metro)",247336,0.936
23540,12041, ,Gilchrist FL,"Gainesville, FL (Metro)",16939,0.064
23580,13139, ,Hall GA,"Gainesville, GA (Metro)",179684,1
23620,48097, ,Cooke TX,"Gainesville, TX (Micro)",38437,1
23660,17095, ,Knox IL,"Galesburg, IL (Micro)",52919,1
23700,35031, ,McKinley NM,"Gallup, NM (Micro)",71492,1
23780,20055, ,Finney KS,"Garden City, KS (Micro)",36776,0.902
23780,20093, ,Kearny KS,"Garden City, KS (Micro)",3977,0.098
23820,32005, ,Douglas NV,"Gardnerville Ranchos, NV (Micro)",46997,1
23860,45043, ,Georgetown SC,"Georgetown, SC (Micro)",60158,1
23900,42001, ,Adams PA,"Gettysburg, PA (Metro)",101407,1
23940,56005, ,Campbell WY,"Gillette, WY (Micro)",46133,1
23980,21009, ,Barren KY,"Glasgow, KY (Micro)",42173,0.807
23980,21169, ,Metcalfe KY,"Glasgow, KY (Micro)",10099,0.193
24020,36113, ,Warren NY,"Glens Falls, NY (Metro)",65707,0.51
24020,36115, ,Washington NY,"Glens Falls, NY (Metro)",63216,0.49
24060,8045, ,Garfield CO,"Glenwood Springs, CO (Micro)",56389,0.767
24060,8097, ,Pitkin CO,"Glenwood Springs, CO (Micro)",17148,0.233
24100,36035, ,Fulton NY,"Gloversville, NY (Micro)",55531,1
24140,37191, ,Wayne NC,"Goldsboro, NC (Metro)",122623,1
24220,27119, ,Polk MN,"Grand Forks, ND-MN (Metro)",31600,0.321
24220,38035, ,Grand Forks ND,"Grand Forks, ND-MN (Metro)",66861,0.679
24260,31079, ,Hall NE,"Grand Island, NE (Metro)",58607,0.716
24260,31081, ,Hamilton NE,"Grand Island, NE (Metro)",9124,0.111
24260,31093, ,Howard NE,"Grand Island, NE (Metro)",6274,0.077
24260,31121, ,Merrick NE,"Grand Island, NE (Metro)",7845,0.096
24300,8077, ,Mesa CO,"Grand Junction, CO (Metro)",146723,1
24330,27061, ,Itasca MN,"Grand Rapiuds, MN (Micro)",45058,1
24340,26015, ,Barry MI,"Grand Rapids-Wyoming, MI (Metro)",59173,0.06
24340,26081, ,Kent MI,"Grand Rapids-Wyoming, MI (Metro)",602622,0.609
24340,26117, ,Montcalm MI,"Grand Rapids-Wyoming, MI (Metro)",63342,0.064
24340,26139, ,Ottawa MI,"Grand Rapids-Wyoming, MI (Metro)",263801,0.267
24380,35006, ,Cibola NM,"Grants, NM (Micro)",27213,1
24420,41033, ,Josephine OR,"Grants Pass, OR (Metro)",82713,1
24460,20009, ,Barton KS,"Great Bend, KS (Micro)",27674,1
24500,30013, ,Cascade MT,"Great Falls, MT (Metro)",81327,1
24540,8123, ,Weld CO,"Greeley, CO (Metro)",252825,1
24580,55009, ,Brown WI,"Green Bay, WI (Metro)",248007,0.81
24580,55061, ,Kewaunee WI,"Green Bay, WI (Metro)",20574,0.067
24580,55083, ,Oconto WI,"Green Bay, WI (Metro)",37660,0.123
24620,47059, ,Greene TN,"Greeneville, TN (Micro)",68831,1
24640,25011, ,Franklin MA,"Greenfield Town, MA (Micro)",71372,1
24660,37081, ,Guilford NC,"Greensboro-High Point, NC (Metro)",488406,0.675
24660,37151, ,Randolph NC,"Greensboro-High Point, NC (Metro)",141752,0.196
24660,37157, ,Rockingham NC,"Greensboro-High Point, NC (Metro)",93643,0.129
24700,18031, ,Decatur IN,"Greensburg, IN (Micro)",25740,1
24740,28151, ,Washington MS,"Greenville, MS (Micro)",51137,1
24780,37147, ,Pitt NC,"Greenville, NC (Metro)",168148,1
24820,39037, ,Darke OH,"Greenville, OH (Micro)",52959,1
24860,45007, ,Anderson SC,"Greenville-Anderson-Mauldin, SC (Metro)",187126,0.227
24860,45045, ,Greenville SC,"Greenville-Anderson-Mauldin, SC (Metro)",451225,0.548
24860,45059, ,Laurens SC,"Greenville-Anderson-Mauldin, SC (Metro)",66537,0.081
24860,45077, ,Pickens SC,"Greenville-Anderson-Mauldin, SC (Metro)",119224,0.145
24900,28015, ,Carroll MS,"Greenwood, MS (Micro)",10597,0.247
24900,28083, ,Leflore MS,"Greenwood, MS (Micro)",32317,0.753
24940,45001, ,Abbeville SC,"Greenwood, SC (Micro)",25417,0.267
24940,45047, ,Greenwood SC,"Greenwood, SC (Micro)",69661,0.733
24980,28043, ,Grenada MS,"Grenada, MS (Micro)",21906,1
25060,28045, ,Hancock MS,"Gulfport-Biloxi-Pascagoula, MS (Metro)",43929,0.119
25060,28047, ,Harrison MS,"Gulfport-Biloxi-Pascagoula, MS (Metro)",187105,0.505
25060,28059, ,Jackson MS,"Gulfport-Biloxi-Pascagoula, MS (Metro)",139668,0.377
25100,40139, ,Texas OK,"Guymon, OK (Micro)",20640,1
25180,24043, ,Washington MD,"Hagerstown-Martinsburg, MD-WV (Metro)",147430,0.586
25180,54003, ,Berkeley WV,"Hagerstown-Martinsburg, MD-WV (Metro)",104169,0.414
25200,16013, ,Blaine ID,"Hailey, ID (Micro)",21376,0.772
25200,16025, ,Camas ID,"Hailey, ID (Micro)",1117,0.04
25200,16063, ,Lincoln ID,"Hailey, ID (Micro)",5208,0.188
25220,22105, ,Tangipahoa Parish LA,"Hammond, LA (Metro)",121097,1
25260,6031, ,Kings CA,"Hanford-Corcoran, CA (Metro)",152982,1
25300,29127, ,Marion MO,"Hannibal, MO (Micro)",28781,0.739
25300,29173, ,Ralls MO,"Hannibal, MO (Micro)",10167,0.261
25420,42041, ,Cumberland PA,"Harrisburg-Carlisle, PA (Metro)",235406,0.428
25420,42043, ,Dauphin PA,"Harrisburg-Carlisle, PA (Metro)",268100,0.488
25420,42099, ,Perry PA,"Harrisburg-Carlisle, PA (Metro)",45969,0.084
25460,5009, ,Boone AR,"Harrison, AR (Micro)",36903,0.816
25460,5101, ,Newton AR,"Harrison, AR (Micro)",8330,0.184
25500,51165, ,Rockingham VA,"Harrisonburg, VA (Metro)",76314,0.609
25500,51660, ,Harrisonburg city VA,"Harrisonburg, VA (Metro)",48914,0.391
25540,9003, ,Hartford CT,"Hartford-West Hartford-East Hartford, CT (Metro)",894014,0.737
25540,9007, ,Middlesex CT,"Hartford-West Hartford-East Hartford, CT (Metro)",165676,0.137
25540,9013, ,Tolland CT,"Hartford-West Hartford-East Hartford, CT (Metro)",152691,0.126
25580,31001, ,Adams NE,"Hastings, NE (Micro)",31364,1
25620,28035, ,Forrest MS,"Hattiesburg, MS (Metro)",74934,0.525
25620,28073, ,Lamar MS,"Hattiesburg, MS (Metro)",55658,0.39
25620,28111, ,Perry MS,"Hattiesburg, MS (Metro)",12250,0.086
25700,20051, ,Ellis KS,"Hays, KS (Micro)",28452,1
25720,49051, ,Wasatch UT,"Heber, UT (Micro)",23530,1
25740,30043, ,Jefferson MT,"Helena, MT (Micro)",11406,0.152
25740,30049, ,Lewis and Clark MT,"Helena, MT (Micro)",63395,0.848
25760,5107, ,Phillips AR,"Helena-West Helena, AR (Micro)",21757,1
25780,37181, ,Vance NC,"Henderson, NC (Micro)",45422,1
25820,48117, ,Deaf Smith TX,"Hereford, TX (Micro)",19372,1
25840,41049, ,Morrow OR,"Hermiston-Pendleton, OR (Micro)",11173,0.128
25840,41059, ,Umatilla OR,"Hermiston-Pendleton, OR (Micro)",75889,0.872
25860,37003, ,Alexander NC,"Hickory-Lenoir-Morganton, NC (Metro)",37198,0.102
25860,37023, ,Burke NC,"Hickory-Lenoir-Morganton, NC (Metro)",90912,0.249
25860,37027, ,Caldwell NC,"Hickory-Lenoir-Morganton, NC (Metro)",83029,0.227
25860,37035, ,Catawba NC,"Hickory-Lenoir-Morganton, NC (Metro)",154358,0.422
25880,26059, ,Hillsdale MI,"Hillsdale, MI (Micro)",46688,1
25900,15001, ,Hawaii HI,"Hilo, HI (Micro)",185079,1
25940,45013, ,Beaufort SC,"Hilton Head Island-Bluffton-Beaufort, SC (Metro)",162233,0.868
25940,45053, ,Jasper SC,"Hilton Head Island-Bluffton-Beaufort, SC (Metro)",24777,0.132
25980,13179, ,Liberty GA,"Hinesville, GA (Metro)",63453,0.814
25980,13183, ,Long GA,"Hinesville, GA (Metro)",14464,0.186
26020,35025, ,Lea NM,"Hobbs, NM (Micro)",64727,1
26090,26005, ,Allegan MI,"Holland, MI (Micro)",111408,1
26140,12017, ,Citrus FL,"Homosassa Springs, FL (Metro)",141236,1
26220,41027, ,Hood River OR,"Hood River, OR (Micro)",22346,1
26260,5057, ,Hempstead AR,"Hope, AR (Micro)",22609,0.715
26260,5099, ,Nevada AR,"Hope, AR (Micro)",8997,0.285
26300,5051, ,Garland AR,"Hot Springs, AR (Metro)",96024,1
26340,26061, ,Houghton MI,"Houghton, MI (Micro)",36628,0.944
26340,26083, ,Keweenaw MI,"Houghton, MI (Micro)",2156,0.056
26380,22057, ,Lafourche Parish LA,"Houma-Thibodaux, LA (Metro)",96318,0.463
26380,22109, ,Terrebonne Parish LA,"Houma-Thibodaux, LA (Metro)",111860,0.537
26420,48015, ,Austin TX,"Houston-The Woodlands-Sugar Land, TX (Metro)",28417,0.005
26420,48039, ,Brazoria TX,"Houston-The Woodlands-Sugar Land, TX (Metro)",313166,0.053
26420,48071, ,Chambers TX,"Houston-The Woodlands-Sugar Land, TX (Metro)",35096,0.006
26420,48157, ,Fort Bend TX,"Houston-The Woodlands-Sugar Land, TX (Metro)",585375,0.099
26420,48167, ,Galveston TX,"Houston-The Woodlands-Sugar Land, TX (Metro)",291309,0.049
26420,48201, ,Harris TX,"Houston-The Woodlands-Sugar Land, TX (Metro)",4092459,0.691
26420,48291, ,Liberty TX,"Houston-The Woodlands-Sugar Land, TX (Metro)",75643,0.013
26420,48339, ,Montgomery TX,"Houston-The Woodlands-Sugar Land, TX (Metro)",455746,0.077
26420,48473, ,Waller TX,"Houston-The Woodlands-Sugar Land, TX (Metro)",43205,0.007
26460,36021, ,Columbia NY,"Hudson, NY (Micro)",63096,1
26500,42061, ,Huntingdon PA,"Huntingdon, PA (Micro)",45913,1
26540,18069, ,Huntington IN,"Huntington, IN (Micro)",37124,1
26580,21019, ,Boyd KY,"Huntington-Ashland, WV-KY-OH (Metro)",49542,0.136
26580,21089, ,Greenup KY,"Huntington-Ashland, WV-KY-OH (Metro)",36910,0.101
26580,39087, ,Lawrence OH,"Huntington-Ashland, WV-KY-OH (Metro)",62450,0.171
26580,54011, ,Cabell WV,"Huntington-Ashland, WV-KY-OH (Metro)",96319,0.264
26580,54043, ,Lincoln WV,"Huntington-Ashland, WV-KY-OH (Metro)",21720,0.06
26580,54079, ,Putnam WV,"Huntington-Ashland, WV-KY-OH (Metro)",55486,0.152
26580,54099, ,Wayne WV,"Huntington-Ashland, WV-KY-OH (Metro)",42481,0.116
26620,1083, ,Limestone AL,"Huntsville, AL (Metro)",82782,0.198
26620,1089, ,Madison AL,"Huntsville, AL (Metro)",334811,0.802
26660,48455, ,Trinity TX,"Huntsville, TX (Micro)",14585,0.177
26660,48471, ,Walker TX,"Huntsville, TX (Micro)",67861,0.823
26700,46005, ,Beadle SD,"Huron, SD (Micro)",17398,1
26740,20155, ,Reno KS,"Hutchinson, KS (Micro)",64511,1
26780,27085, ,McLeod MN,"Hutchinson, MN (Micro)",36651,1
26820,16019, ,Bonneville ID,"Idaho Falls, ID (Metro)",104234,0.782
26820,16023, ,Butte ID,"Idaho Falls, ID (Metro)",2891,0.022
26820,16051, ,Jefferson ID,"Idaho Falls, ID (Metro)",26140,0.196
26860,42063, ,Indiana PA,"Indiana, PA (Micro)",88880,1
26900,18011, ,Boone IN,"Indianapolis-Carmel-Anderson, IN (Metro)",56640,0.03
26900,18013, ,Brown IN,"Indianapolis-Carmel-Anderson, IN (Metro)",15242,0.008
26900,18057, ,Hamilton IN,"Indianapolis-Carmel-Anderson, IN (Metro)",274569,0.145
26900,18059, ,Hancock IN,"Indianapolis-Carmel-Anderson, IN (Metro)",70002,0.037
26900,18063, ,Hendricks IN,"Indianapolis-Carmel-Anderson, IN (Metro)",145448,0.077
26900,18081, ,Johnson IN,"Indianapolis-Carmel-Anderson, IN (Metro)",139654,0.074
26900,18095, ,Madison IN,"Indianapolis-Carmel-Anderson, IN (Metro)",131636,0.07
26900,18097, ,Marion IN,"Indianapolis-Carmel-Anderson, IN (Metro)",903393,0.479
26900,18109, ,Morgan IN,"Indianapolis-Carmel-Anderson, IN (Metro)",68894,0.036
26900,18133, ,Putnam IN,"Indianapolis-Carmel-Anderson, IN (Metro)",37963,0.02
26900,18145, ,Shelby IN,"Indianapolis-Carmel-Anderson, IN (Metro)",44436,0.024
26940,28133, ,Sunflower MS,"Indianola, MS (Micro)",29450,1
26960,26067, ,Ionia MI,"Ionia, MI (Micro)",63905,1
26980,19103, ,Johnson IA,"Iowa City, IA (Metro)",130882,0.858
26980,19183, ,Washington IA,"Iowa City, IA (Metro)",21704,0.142
27020,26043, ,Dickinson MI,"Iron Mountain, MI-WI (Micro)",26168,0.855
27020,55037, ,Florence WI,"Iron Mountain, MI-WI (Micro)",4423,0.145
27060,36109, ,Tompkins NY,"Ithaca, NY (Metro)",101564,1
27100,26075, ,Jackson MI,"Jackson, MI (Metro)",160248,1
27140,28029, ,Copiah MS,"Jackson, MS (Metro)",29449,0.052
27140,28049, ,Hinds MS,"Jackson, MS (Metro)",245285,0.433
27140,28089, ,Madison MS,"Jackson, MS (Metro)",95203,0.168
27140,28121, ,Rankin MS,"Jackson, MS (Metro)",141617,0.25
27140,28127, ,Simpson MS,"Jackson, MS (Metro)",27503,0.048
27140,28163, ,Yazoo MS,"Jackson, MS (Metro)",28065,0.049
27160,39079, ,Jackson OH,"Jackson, OH (Micro)",33225,1
27180,47023, ,Chester TN,"Jackson, TN (Metro)",17131,0.132
27180,47033, ,Crockett TN,"Jackson, TN (Metro)",14586,0.112
27180,47113, ,Madison TN,"Jackson, TN (Metro)",98294,0.756
27220,16081, ,Teton ID,"Jackson, WY-ID (Micro)",10170,0.323
27220,56039, ,Teton WY,"Jackson, WY-ID (Micro)",21294,0.677
27260,12003, ,Baker FL,"Jacksonville, FL (Metro)",27115,0.02
27260,12019, ,Clay FL,"Jacksonville, FL (Metro)",190865,0.142
27260,12031, ,Duval FL,"Jacksonville, FL (Metro)",864263,0.642
27260,12089, ,Nassau FL,"Jacksonville, FL (Metro)",73314,0.054
27260,12109, ,St. Johns FL,"Jacksonville, FL (Metro)",190039,0.141
27300,17137, ,Morgan IL,"Jacksonville, IL (Micro)",35547,0.869
27300,17171, ,Scott IL,"Jacksonville, IL (Micro)",5355,0.131
27340,37133, ,Onslow NC,"Jacksonville, NC (Metro)",177772,1
27380,48073, ,Cherokee TX,"Jacksonville, TX (Micro)",50845,1
27420,38093, ,Stutsman ND,"Jamestown, ND (Micro)",21100,1
27460,36013, ,Chautauqua NY,"Jamestown-Dunkirk-Fredonia, NY (Micro)",134905,1
27500,55105, ,Rock WI,"Janesville-Beloit, WI (Metro)",160331,1
27540,18037, ,Dubois IN,"Jasper, IN (Micro)",41889,0.765
27540,18125, ,Pike IN,"Jasper, IN (Micro)",12845,0.235
27600,13157, ,Jackson GA,"Jefferson, GA (Micro)",60485,1
27620,29027, ,Callaway MO,"Jefferson City, MO (Metro)",44332,0.296
27620,29051, ,Cole MO,"Jefferson City, MO (Metro)",75990,0.507
27620,29135, ,Moniteau MO,"Jefferson City, MO (Metro)",15607,0.104
27620,29151, ,Osage MO,"Jefferson City, MO (Metro)",13878,0.093
27660,22053, ,Jefferson Davis Parish LA,"Jennings, LA (Micro)",31594,1
27700,13305, ,Wayne GA,"Jesup, GA (Micro)",30099,1
27740,47019, ,Carter TN,"Johnson City, TN (Metro)",57424,0.289
27740,47171, ,Unicoi TN,"Johnson City, TN (Metro)",18313,0.092
27740,47179, ,Washington TN,"Johnson City, TN (Metro)",122979,0.619
27780,42021, ,Cambria PA,"Johnstown, PA (Metro)",143679,1
27860,5031, ,Craighead AR,"Jonesboro, AR (Metro)",96443,0.797
27860,5111, ,Poinsett AR,"Jonesboro, AR (Metro)",24583,0.203
27900,29097, ,Jasper MO,"Joplin, MO (Metro)",117404,0.669
27900,29145, ,Newton MO,"Joplin, MO (Metro)",58114,0.331
27920,20061, ,Geary KS,"Junction City, KS (Micro)",34362,1
27940,2110, ,Juneau Borough AK,"Juneau, AK (Micro)",31275,1
27980,15005, ,Kalawao HI,"Kahului-Wailuku-Lahaina, HI (Metro)",90,0.001
27980,15009, ,Maui HI,"Kahului-Wailuku-Lahaina, HI (Metro)",154834,0.999
28020,26077, ,Kalamazoo MI,"Kalamazoo-Portage, MI (Metro)",250331,0.767
28020,26159, ,Van Buren MI,"Kalamazoo-Portage, MI (Metro)",76258,0.233
28060,30029, ,Flathead MT,"Kalispell, MT (Micro)",90928,1
28100,17091, ,Kankakee IL,"Kankakee, IL (Metro)",113449,1
28140,20091, ,Johnson KS,"Kansas City, MO-KS (Metro)",544179,0.271
28140,20103, ,Leavenworth KS,"Kansas City, MO-KS (Metro)",76227,0.038
28140,20107, ,Linn KS,"Kansas City, MO-KS (Metro)",9656,0.005
28140,20121, ,Miami KS,"Kansas City, MO-KS (Metro)",32787,0.016
28140,20209, ,Wyandotte KS,"Kansas City, MO-KS (Metro)",157505,0.078
28140,29013, ,Bates MO,"Kansas City, MO-KS (Metro)",17049,0.008
28140,29025, ,Caldwell MO,"Kansas City, MO-KS (Metro)",9424,0.005
28140,29037, ,Cass MO,"Kansas City, MO-KS (Metro)",99478,0.05
28140,29047, ,Clay MO,"Kansas City, MO-KS (Metro)",221939,0.11
28140,29049, ,Clinton MO,"Kansas City, MO-KS (Metro)",20743,0.01
28140,29095, ,Jackson MO,"Kansas City, MO-KS (Metro)",674158,0.336
28140,29107, ,Lafayette MO,"Kansas City, MO-KS (Metro)",33381,0.017
28140,29165, ,Platte MO,"Kansas City, MO-KS (Metro)",89322,0.044
28140,29177, ,Ray MO,"Kansas City, MO-KS (Metro)",23494,0.012
28180,15007, ,Kauai HI,"Kapaa, HI (Micro)",67091,1
28260,31019, ,Buffalo NE,"Kearney, NE (Micro)",46102,0.877
28260,31099, ,Kearney NE,"Kearney, NE (Micro)",6489,0.123
28300,33005, ,Cheshire NH,"Keene, NH (Micro)",77117,1
28340,18113, ,Noble IN,"Kendallville, IN (Micro)",47536,1
28380,29069, ,Dunklin MO,"Kennett, MO (Micro)",31953,1
28420,53005, ,Benton WA,"Kennewick-Richland, WA (Metro)",175177,0.691
28420,53021, ,Franklin WA,"Kennewick-Richland, WA (Metro)",78163,0.309
28500,48265, ,Kerr TX,"Kerrville, TX (Micro)",49625,1
28540,2130, ,Ketchikan Gateway Borough AK,"Ketchikan, AK (Micro)",13477,1
28580,12087, ,Monroe FL,"Key West, FL (Micro)",73090,1
28620,37055, ,Dare NC,"Kill Devil Hills, NC (Micro)",33920,0.885
28620,37177, ,Tyrrell NC,"Kill Devil Hills, NC (Micro)",4407,0.115
28660,48027, ,Bell TX,"Killeen-Temple, TX (Metro)",310235,0.765
28660,48099, ,Coryell TX,"Killeen-Temple, TX (Metro)",75388,0.186
28660,48281, ,Lampasas TX,"Killeen-Temple, TX (Metro)",19677,0.049
28700,47073, ,Hawkins TN,"Kingsport-Bristol-Bristol, TN-VA (Metro)",56833,0.184
28700,47163, ,Sullivan TN,"Kingsport-Bristol-Bristol, TN-VA (Metro)",156823,0.507
28700,51169, ,Scott VA,"Kingsport-Bristol-Bristol, TN-VA (Metro)",23177,0.075
28700,51191, ,Washington VA,"Kingsport-Bristol-Bristol, TN-VA (Metro)",54876,0.177
28700,51520, ,Bristol city VA,"Kingsport-Bristol-Bristol, TN-VA (Metro)",17835,0.058
28740,36111, ,Ulster NY,"Kingston, NY (Metro)",182493,1
28780,48261, ,Kenedy TX,"Kingsville, TX (Micro)",416,0.013
28780,48273, ,Kleberg TX,"Kingsville, TX (Micro)",32061,0.987
28820,37107, ,Lenoir NC,"Kinston, NC (Micro)",59495,1
28860,29001, ,Adair MO,"Kirksville, MO (Micro)",25607,0.852
28860,29197, ,Schuyler MO,"Kirksville, MO (Micro)",4431,0.148
28900,41035, ,Klamath OR,"Klamath Falls, OR (Micro)",66380,1
28940,47001, ,Anderson TN,"Knoxville, TN (Metro)",75129,0.09
28940,47009, ,Blount TN,"Knoxville, TN (Metro)",123010,0.147
28940,47013, ,Campbell TN,"Knoxville, TN (Metro)",40716,0.049
28940,47057, ,Grainger TN,"Knoxville, TN (Metro)",22657,0.027
28940,47093, ,Knox TN,"Knoxville, TN (Metro)",432226,0.516
28940,47105, ,Loudon TN,"Knoxville, TN (Metro)",48556,0.058
28940,47129, ,Morgan TN,"Knoxville, TN (Metro)",21987,0.026
28940,47145, ,Roane TN,"Knoxville, TN (Metro)",54181,0.065
28940,47173, ,Union TN,"Knoxville, TN (Metro)",19109,0.023
29020,18067, ,Howard IN,"Kokomo, IN (Metro)",82752,1
29060,33001, ,Belknap NH,"Laconia, NH (Micro)",60088,1
29100,27055, ,Houston MN,"La Crosse-Onalaska, WI-MN (Metro)",19027,0.142
29100,55063, ,La Crosse WI,"La Crosse-Onalaska, WI-MN (Metro)",114638,0.858
29180,22001, ,Acadia Parish LA,"Lafayette, LA (Metro)",61773,0.132
29180,22045, ,Iberia Parish LA,"Lafayette, LA (Metro)",73240,0.157
29180,22055, ,Lafayette Parish LA,"Lafayette, LA (Metro)",221578,0.475
29180,22099, ,St. Martin Parish LA,"Lafayette, LA (Metro)",52160,0.112
29180,22113, ,Vermilion Parish LA,"Lafayette, LA (Metro)",57999,0.124
29200,18007, ,Benton IN,"Lafayette-West Lafayette, IN (Metro)",8854,0.044
29200,18015, ,Carroll IN,"Lafayette-West Lafayette, IN (Metro)",20155,0.1
29200,18157, ,Tippecanoe IN,"Lafayette-West Lafayette, IN (Metro)",172780,0.856
29260,41061, ,Union OR,"La Grande, OR (Micro)",25748,1
29300,13285, ,Troup GA,"LaGrange, GA (Micro)",67044,1
29340,22019, ,Calcasieu Parish LA,"Lake Charles, LA (Metro)",192768,0.966
29340,22023, ,Cameron Parish LA,"Lake Charles, LA (Metro)",6839,0.034
29380,12023, ,Columbia FL,"Lake City, FL (Micro)",67531,1
29420,4015, ,Mohave AZ,"Lake Havasu City-Kingman, AZ (Metro)",200186,1
29460,12105, ,Polk FL,"Lakeland-Winter Haven, FL (Metro)",602095,1
29500,48115, ,Dawson TX,"Lamesa, TX (Micro)",13833,1
29540,42071, ,Lancaster PA,"Lancaster, PA (Metro)",519445,1
29620,26037, ,Clinton MI,"Lansing-East Lansing, MI (Metro)",75382,0.162
29620,26045, ,Eaton MI,"Lansing-East Lansing, MI (Metro)",107759,0.232
29620,26065, ,Ingham MI,"Lansing-East Lansing, MI (Metro)",280895,0.605
29660,56001, ,Albany WY,"Laramie, WY (Micro)",36299,1
29700,48479, ,Webb TX,"Laredo, TX (Metro)",250304,1
29740,35013, ,Dona Ana NM,"Las Cruces, NM (Metro)",209233,1
29780,35047, ,San Miguel NM,"Las Vegas, NM (Micro)",29393,1
29820,32003, ,Clark NV,"Las Vegas-Henderson-Paradise, NV (Metro)",1951269,1
29860,28061, ,Jasper MS,"Laurel, MS (Micro)",17062,0.201
29860,28067, ,Jones MS,"Laurel, MS (Micro)",67761,0.799
29900,37165, ,Scotland NC,"Laurinburg, NC (Micro)",36157,1
29940,20045, ,Douglas KS,"Lawrence, KS (Metro)",110826,1
29980,47099, ,Lawrence TN,"Lawrenceburg, TN (Micro)",41869,1
30020,40031, ,Comanche OK,"Lawton, OK (Metro)",124098,0.952
30020,40033, ,Cotton OK,"Lawton, OK (Metro)",6193,0.048
30060,29105, ,Laclede MO,"Lebanon, MO (Micro)",35571,1
30140,42075, ,Lebanon PA,"Lebanon, PA (Metro)",133568,1
30220,48219, ,Hockley TX,"Levelland, TX (Micro)",22935,1
30260,42119, ,Union PA,"Lewisburg, PA (Micro)",44947,1
30280,47117, ,Marshall TN,"Lewisburg, TN (Micro)",30617,1
30300,16069, ,Nez Perce ID,"Lewiston, ID-WA (Metro)",39265,0.645
30300,53003, ,Asotin WA,"Lewiston, ID-WA (Metro)",21623,0.355
30340,23001, ,Androscoggin ME,"Lewiston-Auburn, ME (Metro)",107702,1
30380,42087, ,Mifflin PA,"Lewistown, PA (Micro)",46682,1
30420,31047, ,Dawson NE,"Lexington, NE (Micro)",24326,0.922
30420,31073, ,Gosper NE,"Lexington, NE (Micro)",2044,0.078
30460,21017, ,Bourbon KY,"Lexington-Fayette, KY (Metro)",19985,0.042
30460,21049, ,Clark KY,"Lexington-Fayette, KY (Metro)",35613,0.075
30460,21067, ,Fayette KY,"Lexington-Fayette, KY (Metro)",295803,0.627
30460,21113, ,Jessamine KY,"Lexington-Fayette, KY (Metro)",48586,0.103
30460,21209, ,Scott KY,"Lexington-Fayette, KY (Metro)",47173,0.1
30460,21239, ,Woodford KY,"Lexington-Fayette, KY (Metro)",24939,0.053
30580,20175, ,Seward KS,"Liberal, KS (Micro)",22952,1
30620,39003, ,Allen OH,"Lima, OH (Metro)",106331,1
30660,17107, ,Logan IL,"Lincoln, IL (Micro)",30305,1
30700,31109, ,Lancaster NE,"Lincoln, NE (Metro)",285407,0.945
30700,31159, ,Seward NE,"Lincoln, NE (Metro)",16750,0.055
30780,5045, ,Faulkner AR,"Little Rock-North Little Rock-Conway, AR (Metro)",113237,0.162
30780,5053, ,Grant AR,"Little Rock-North Little Rock-Conway, AR (Metro)",17853,0.026
30780,5085, ,Lonoke AR,"Little Rock-North Little Rock-Conway, AR (Metro)",68356,0.098
30780,5105, ,Perry AR,"Little Rock-North Little Rock-Conway, AR (Metro)",10445,0.015
30780,5119, ,Pulaski AR,"Little Rock-North Little Rock-Conway, AR (Metro)",382748,0.547
30780,5125, ,Saline AR,"Little Rock-North Little Rock-Conway, AR (Metro)",107118,0.153
30820,42035, ,Clinton PA,"Lock Haven, PA (Micro)",39238,1
30860,16041, ,Franklin ID,"Logan, UT-ID (Metro)",12786,0.102
30860,49005, ,Cache UT,"Logan, UT-ID (Metro)",112656,0.898
30880,54045, ,Logan WV,"Logan, WV (Micro)",36743,1
30900,18017, ,Cass IN,"Logansport, IN (Micro)",38966,1
30940,21121, ,Knox KY,"London, KY (Micro)",31883,0.252
30940,21125, ,Laurel KY,"London, KY (Micro)",58849,0.466
30940,21235, ,Whitley KY,"London, KY (Micro)",35637,0.282
30980,48183, ,Gregg TX,"Longview, TX (Metro)",121730,0.568
30980,48401, ,Rusk TX,"Longview, TX (Metro)",53330,0.249
30980,48459, ,Upshur TX,"Longview, TX (Metro)",39309,0.183
31020,53015, ,Cowlitz WA,"Longview, WA (Metro)",102410,1
31060,35028, ,Los Alamos NM,"Los Alamos, NM (Micro)",17950,1
31080,6037, ,Los Angeles CA,"Los Angeles-Long Beach-Anaheim, CA (Metro)",9818605,0.765
31080,6059, ,Orange CA,"Los Angeles-Long Beach-Anaheim, CA (Metro)",3010232,0.235
31140,18019, ,Clark IN,"Louisville/Jefferson County, KY-IN (Metro)",110232,0.089
